"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-5",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/stats_async/async_stats.csv -cdn",,,,"Date:","05 Dec 2016 23:46:57 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
1.188,0.439,98.326,0.037,0.000,0.011,2877.289,17683.148,0.0,0.0
56.858,9.476,33.167,0.499,0.0,0.0,0.0,65536.0,736.0,4010.0
0.505,0.253,99.242,0.0,0.0,0.0,0.0,0.0,4134.0,3372.0
0.754,0.251,98.995,0.0,0.0,0.0,0.0,0.0,162.0,436.0
0.501,0.752,98.747,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.756,0.252,98.992,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.504,0.504,98.992,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.253,0.251,98.246,0.251,0.0,0.0,0.0,20480.0,162.0,224.0
1.250,0.500,98.250,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.756,0.252,98.992,0.0,0.0,0.0,0.0,0.0,120.0,224.0
0.756,0.252,98.992,0.0,0.0,0.0,0.0,0.0,120.0,224.0
0.504,0.504,98.992,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.0,0.500,98.250,0.0,0.0,0.250,0.0,0.0,216.0,298.0
0.503,0.754,98.492,0.251,0.0,0.0,0.0,20480.0,162.0,224.0
0.754,0.503,98.744,0.0,0.0,0.0,0.0,0.0,162.0,224.0
3.769,0.503,95.729,0.0,0.0,0.0,0.0,0.0,35095.0,12177.0
2.750,1.0,96.250,0.0,0.0,0.0,0.0,0.0,21302.0,19098.0
1.737,0.744,97.519,0.0,0.0,0.0,0.0,0.0,162.0,224.0
3.741,1.496,94.763,0.0,0.0,0.0,0.0,0.0,34643.0,11428.0
2.250,1.250,96.250,0.250,0.0,0.0,0.0,20480.0,15363.0,11980.0
1.003,0.752,98.246,0.0,0.0,0.0,0.0,0.0,437.0,690.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.506,0.253,99.241,0.0,0.0,0.0,0.0,0.0,1935.0,1332.0
1.010,0.0,98.990,0.0,0.0,0.0,0.0,24576.0,481.0,813.0
0.754,1.005,97.990,0.251,0.0,0.0,0.0,32768.0,162.0,224.0
1.256,0.251,98.492,0.0,0.0,0.0,0.0,0.0,162.0,224.0
0.756,0.504,98.741,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,162.0,224.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,61440.0,162.0,224.0
1.508,0.0,96.985,1.508,0.0,0.0,0.0,24576.0,162.0,224.0
1.250,0.750,98.0,0.0,0.0,0.0,0.0,0.0,910.0,768.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,881.0,830.0
1.746,0.748,97.506,0.0,0.0,0.0,0.0,0.0,744.0,1081.0
1.493,0.746,97.761,0.0,0.0,0.0,0.0,12288.0,1337.0,1559.0
1.493,0.746,97.264,0.498,0.0,0.0,0.0,32768.0,162.0,224.0
1.750,0.250,98.0,0.0,0.0,0.0,0.0,0.0,349.0,327.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,1330.0,1445.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,0.0,2441.0,2669.0
1.256,0.251,98.492,0.0,0.0,0.0,0.0,0.0,779.0,1182.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,0.0,1116.0,1115.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,20480.0,162.0,224.0
