"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-4",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/output/sync_stats.csv -cdn",,,,"Date:","04 Dec 2016 02:21:00 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
1.479,0.415,98.055,0.040,0.000,0.011,2804.881,16902.098,0.0,0.0
17.766,3.046,79.188,0.0,0.0,0.0,0.0,0.0,302.0,904.0
2.005,0.501,97.494,0.0,0.0,0.0,0.0,16384.0,1152.0,1252.0
2.771,0.756,96.474,0.0,0.0,0.0,0.0,0.0,17308.0,5233.0
1.515,0.505,97.475,0.505,0.0,0.0,0.0,53248.0,1776.0,1949.0
1.015,0.0,98.985,0.0,0.0,0.0,0.0,0.0,307.0,609.0
2.010,0.251,97.739,0.0,0.0,0.0,0.0,0.0,1483.0,1631.0
1.515,0.253,98.232,0.0,0.0,0.0,0.0,49152.0,349.0,515.0
1.768,0.253,97.980,0.0,0.0,0.0,0.0,0.0,1694.0,2042.0
2.020,0.253,96.970,0.758,0.0,0.0,0.0,32768.0,1474.0,1665.0
1.777,0.508,97.716,0.0,0.0,0.0,0.0,0.0,349.0,506.0
2.256,0.251,97.243,0.0,0.0,0.251,0.0,0.0,1690.0,2022.0
3.0,0.250,96.750,0.0,0.0,0.0,0.0,0.0,1620.0,1936.0
1.763,0.504,97.733,0.0,0.0,0.0,0.0,0.0,1623.0,1729.0
1.759,0.754,97.236,0.251,0.0,0.0,0.0,20480.0,403.0,663.0
2.267,0.252,97.481,0.0,0.0,0.0,0.0,0.0,1764.0,2140.0
2.500,0.500,97.0,0.0,0.0,0.0,0.0,0.0,1441.0,1631.0
2.256,0.752,96.992,0.0,0.0,0.0,0.0,0.0,1620.0,1920.0
2.256,0.251,97.494,0.0,0.0,0.0,0.0,0.0,349.0,531.0
1.763,0.756,97.229,0.252,0.0,0.0,0.0,20480.0,1476.0,1681.0
2.020,0.505,97.475,0.0,0.0,0.0,0.0,0.0,1692.0,2079.0
1.266,0.253,98.481,0.0,0.0,0.0,0.0,0.0,349.0,539.0
1.511,0.756,97.733,0.0,0.0,0.0,0.0,0.0,1571.0,1727.0
0.763,0.254,98.982,0.0,0.0,0.0,0.0,0.0,1672.0,2094.0
2.750,0.250,96.750,0.250,0.0,0.0,0.0,20480.0,403.0,593.0
2.005,0.0,97.744,0.0,0.0,0.251,0.0,0.0,1551.0,1647.0
1.263,0.505,98.232,0.0,0.0,0.0,0.0,0.0,1498.0,1942.0
1.508,0.251,98.241,0.0,0.0,0.0,0.0,0.0,307.0,519.0
1.504,0.752,97.744,0.0,0.0,0.0,0.0,0.0,1567.0,1777.0
1.504,0.501,97.494,0.501,0.0,0.0,0.0,20480.0,1680.0,1990.0
1.754,0.501,97.744,0.0,0.0,0.0,0.0,0.0,349.0,527.0
1.750,0.500,97.750,0.0,0.0,0.0,0.0,0.0,1606.0,1876.0
1.010,0.505,98.485,0.0,0.0,0.0,0.0,28672.0,1371.0,1645.0
0.758,0.505,98.737,0.0,0.0,0.0,0.0,0.0,349.0,535.0
1.754,0.752,97.494,0.0,0.0,0.0,0.0,28672.0,1660.0,1950.0
1.010,0.253,98.737,0.0,0.0,0.0,0.0,0.0,1538.0,1599.0
1.256,0.754,97.990,0.0,0.0,0.0,0.0,0.0,349.0,506.0
1.754,0.251,97.995,0.0,0.0,0.0,0.0,0.0,1536.0,1856.0
0.754,1.256,97.990,0.0,0.0,0.0,0.0,0.0,1493.0,1745.0
1.010,0.253,98.232,0.505,0.0,0.0,0.0,20480.0,349.0,527.0
0.758,0.758,98.485,0.0,0.0,0.0,0.0,0.0,1523.0,1794.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,1423.0,1597.0
1.990,0.746,97.264,0.0,0.0,0.0,0.0,28672.0,349.0,523.0
1.013,0.253,98.734,0.0,0.0,0.0,0.0,0.0,1614.0,1982.0
2.0,0.500,97.250,0.250,0.0,0.0,0.0,32768.0,1489.0,1719.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,1580.0,1796.0
1.504,0.501,97.995,0.0,0.0,0.0,0.0,0.0,349.0,493.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,1606.0,1665.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,0.0,1580.0,1767.0
1.763,0.0,97.985,0.252,0.0,0.0,0.0,20480.0,349.0,493.0
1.008,0.756,98.237,0.0,0.0,0.0,0.0,0.0,1544.0,1896.0
0.759,0.506,98.734,0.0,0.0,0.0,0.0,0.0,1353.0,1581.0
1.504,0.752,97.744,0.0,0.0,0.0,0.0,0.0,349.0,519.0
1.256,0.503,98.241,0.0,0.0,0.0,0.0,0.0,1692.0,2042.0
1.256,0.503,97.739,0.251,0.0,0.251,0.0,20480.0,1555.0,1785.0
1.010,0.253,98.737,0.0,0.0,0.0,0.0,0.0,1544.0,1908.0
1.504,0.752,97.744,0.0,0.0,0.0,0.0,0.0,349.0,523.0
1.013,0.0,98.987,0.0,0.0,0.0,0.0,0.0,1567.0,1777.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,307.0,535.0
1.263,0.253,98.232,0.253,0.0,0.0,0.0,20480.0,1613.0,1926.0
1.256,0.754,97.990,0.0,0.0,0.0,0.0,0.0,1489.0,1597.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,1478.0,1962.0
1.750,0.500,97.750,0.0,0.0,0.0,0.0,16384.0,681.0,655.0
1.750,0.500,97.750,0.0,0.0,0.0,0.0,0.0,1365.0,1629.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,20480.0,1676.0,2026.0
1.511,0.252,98.237,0.0,0.0,0.0,0.0,0.0,349.0,535.0
1.508,0.251,98.241,0.0,0.0,0.0,0.0,0.0,1525.0,1617.0
1.500,0.500,98.0,0.0,0.0,0.0,0.0,4096.0,1610.0,1866.0
1.500,0.500,98.0,0.0,0.0,0.0,0.0,0.0,349.0,523.0
1.003,0.752,97.995,0.251,0.0,0.0,0.0,20480.0,1602.0,1856.0
0.759,0.253,98.987,0.0,0.0,0.0,0.0,0.0,1451.0,1519.0
0.756,0.504,98.741,0.0,0.0,0.0,0.0,0.0,349.0,485.0
0.759,0.253,98.987,0.0,0.0,0.0,0.0,0.0,1663.0,1901.0
1.256,0.503,98.241,0.0,0.0,0.0,0.0,0.0,1402.0,1583.0
0.759,0.253,98.734,0.253,0.0,0.0,0.0,20480.0,403.0,575.0
1.259,0.0,98.741,0.0,0.0,0.0,0.0,0.0,1642.0,1800.0
1.493,0.746,97.512,0.0,0.0,0.249,0.0,0.0,1507.0,1661.0
1.259,0.252,98.489,0.0,0.0,0.0,0.0,28672.0,349.0,539.0
1.504,0.501,97.995,0.0,0.0,0.0,0.0,0.0,1593.0,1815.0
1.508,0.251,97.739,0.503,0.0,0.0,0.0,32768.0,1463.0,1501.0
1.259,0.252,98.489,0.0,0.0,0.0,0.0,0.0,349.0,563.0
1.256,0.503,98.241,0.0,0.0,0.0,0.0,0.0,1688.0,2022.0
1.256,0.754,97.990,0.0,0.0,0.0,0.0,0.0,1567.0,1711.0
1.754,0.501,97.744,0.0,0.0,0.0,0.0,0.0,349.0,630.0
1.508,1.256,96.482,0.754,0.0,0.0,0.0,20480.0,1709.0,1905.0
1.759,0.251,97.990,0.0,0.0,0.0,0.0,0.0,1501.0,1711.0
1.010,0.253,98.737,0.0,0.0,0.0,0.0,0.0,349.0,564.0
2.0,0.500,97.500,0.0,0.0,0.0,0.0,0.0,1663.0,1938.0
1.010,0.505,98.485,0.0,0.0,0.0,0.0,0.0,1497.0,1695.0
1.504,0.752,96.992,0.752,0.0,0.0,0.0,20480.0,349.0,560.0
1.259,0.504,98.237,0.0,0.0,0.0,0.0,0.0,1622.0,1993.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,1557.0,1729.0
1.253,0.752,97.995,0.0,0.0,0.0,0.0,16384.0,349.0,552.0
0.761,0.254,98.985,0.0,0.0,0.0,0.0,0.0,1597.0,1872.0
1.504,0.752,97.494,0.251,0.0,0.0,0.0,20480.0,1464.0,1689.0
1.500,1.0,97.500,0.0,0.0,0.0,0.0,0.0,1672.0,1933.0
1.256,0.503,98.241,0.0,0.0,0.0,0.0,0.0,349.0,585.0
1.508,0.754,97.739,0.0,0.0,0.0,0.0,0.0,1501.0,1777.0
1.754,0.501,97.744,0.0,0.0,0.0,0.0,0.0,1622.0,2022.0
1.263,0.0,98.485,0.253,0.0,0.0,0.0,20480.0,307.0,535.0
1.256,0.754,97.990,0.0,0.0,0.0,0.0,0.0,1485.0,1815.0
1.256,0.251,98.492,0.0,0.0,0.0,0.0,0.0,1559.0,1745.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,8192.0,349.0,527.0
1.754,0.0,98.246,0.0,0.0,0.0,0.0,0.0,1663.0,1901.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,1596.0,1755.0
1.754,0.0,97.744,0.501,0.0,0.0,0.0,28672.0,349.0,510.0
1.256,0.251,98.492,0.0,0.0,0.0,0.0,0.0,1478.0,1827.0
1.253,0.501,98.246,0.0,0.0,0.0,0.0,0.0,1672.0,1721.0
1.005,0.754,98.241,0.0,0.0,0.0,0.0,0.0,349.0,519.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,0.0,1489.0,1663.0
0.758,0.505,98.485,0.253,0.0,0.0,0.0,20480.0,1663.0,1914.0
0.758,0.253,98.990,0.0,0.0,0.0,0.0,0.0,349.0,576.0
0.754,0.503,98.492,0.0,0.0,0.251,0.0,24576.0,1439.0,1661.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,0.0,1672.0,1962.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,0.0,403.0,593.0
1.259,0.252,98.237,0.252,0.0,0.0,0.0,32768.0,1738.0,2008.0
1.008,0.252,98.741,0.0,0.0,0.0,0.0,0.0,1485.0,1647.0
1.754,0.251,97.995,0.0,0.0,0.0,0.0,0.0,349.0,548.0
0.505,0.505,98.990,0.0,0.0,0.0,0.0,0.0,1758.0,2013.0
0.756,0.504,98.741,0.0,0.0,0.0,0.0,0.0,1481.0,1631.0
1.500,0.500,97.500,0.500,0.0,0.0,0.0,20480.0,349.0,544.0
1.005,0.503,98.492,0.0,0.0,0.0,0.0,0.0,1558.0,1927.0
1.500,0.750,97.750,0.0,0.0,0.0,0.0,8192.0,1529.0,1633.0
1.259,0.252,98.489,0.0,0.0,0.0,0.0,0.0,349.0,526.0
1.259,0.504,98.237,0.0,0.0,0.0,0.0,0.0,1783.0,2012.0
1.504,0.752,97.494,0.251,0.0,0.0,0.0,20480.0,1410.0,1615.0
1.754,0.251,97.995,0.0,0.0,0.0,0.0,0.0,349.0,539.0
1.010,0.505,98.485,0.0,0.0,0.0,0.0,0.0,1692.0,2013.0
1.504,0.501,97.995,0.0,0.0,0.0,0.0,0.0,1505.0,1697.0
1.511,0.252,98.237,0.0,0.0,0.0,0.0,0.0,307.0,544.0
0.756,0.756,97.985,0.504,0.0,0.0,0.0,20480.0,1824.0,2145.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,1415.0,1848.0
1.266,0.0,98.734,0.0,0.0,0.0,0.0,0.0,1606.0,1721.0
1.515,0.0,98.485,0.0,0.0,0.0,0.0,0.0,349.0,548.0
1.266,0.253,98.481,0.0,0.0,0.0,0.0,0.0,1746.0,2087.0
1.263,0.253,98.232,0.253,0.0,0.0,0.0,20480.0,1507.0,1727.0
0.761,0.254,98.985,0.0,0.0,0.0,0.0,0.0,349.0,568.0
1.750,0.750,97.500,0.0,0.0,0.0,0.0,4096.0,1688.0,1993.0
0.761,0.254,98.985,0.0,0.0,0.0,0.0,0.0,1468.0,1583.0
1.750,0.500,97.500,0.0,0.0,0.250,0.0,0.0,349.0,530.0
1.750,0.750,97.250,0.250,0.0,0.0,0.0,20480.0,1531.0,1806.0
1.754,0.501,97.744,0.0,0.0,0.0,0.0,0.0,1501.0,1711.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,349.0,564.0
1.515,0.253,98.232,0.0,0.0,0.0,0.0,0.0,1610.0,1867.0
1.515,0.505,97.980,0.0,0.0,0.0,0.0,0.0,1621.0,2022.0
1.010,0.253,98.485,0.253,0.0,0.0,0.0,20480.0,307.0,327.0
1.759,0.251,97.990,0.0,0.0,0.0,0.0,0.0,1542.0,1811.0
2.005,0.501,97.494,0.0,0.0,0.0,0.0,28672.0,1435.0,1711.0
1.015,0.0,98.985,0.0,0.0,0.0,0.0,0.0,349.0,564.0
1.750,1.0,97.250,0.0,0.0,0.0,0.0,0.0,1626.0,1947.0
2.005,0.501,97.494,0.0,0.0,0.0,0.0,0.0,1561.0,1679.0
0.761,0.508,98.477,0.254,0.0,0.0,0.0,32768.0,349.0,556.0
2.010,0.251,97.739,0.0,0.0,0.0,0.0,16384.0,1684.0,1973.0
1.511,0.252,98.237,0.0,0.0,0.0,0.0,0.0,1373.0,1902.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,403.0,401.0
2.010,0.251,97.739,0.0,0.0,0.0,0.0,0.0,1622.0,1993.0
2.010,0.503,97.236,0.251,0.0,0.0,0.0,20480.0,1538.0,1665.0
1.508,0.503,97.990,0.0,0.0,0.0,0.0,0.0,349.0,535.0
1.759,0.251,97.990,0.0,0.0,0.0,0.0,0.0,1650.0,1877.0
2.250,0.250,97.500,0.0,0.0,0.0,0.0,0.0,1419.0,1647.0
1.746,0.998,97.257,0.0,0.0,0.0,0.0,0.0,349.0,548.0
1.259,0.504,97.733,0.504,0.0,0.0,0.0,20480.0,1497.0,1965.0
1.508,0.251,97.990,0.0,0.0,0.251,0.0,0.0,1684.0,1769.0
1.504,0.501,97.995,0.0,0.0,0.0,0.0,0.0,349.0,531.0
1.013,0.506,98.481,0.0,0.0,0.0,0.0,0.0,1638.0,1967.0
0.758,0.505,98.737,0.0,0.0,0.0,0.0,0.0,349.0,327.0
1.259,0.504,97.481,0.756,0.0,0.0,0.0,20480.0,1742.0,1933.0
1.263,0.253,98.485,0.0,0.0,0.0,0.0,0.0,1497.0,1695.0
1.256,0.754,97.990,0.0,0.0,0.0,0.0,0.0,349.0,560.0
1.005,1.005,97.990,0.0,0.0,0.0,0.0,0.0,1684.0,2039.0
1.013,0.253,98.734,0.0,0.0,0.0,0.0,0.0,1365.0,1629.0
0.506,0.253,98.481,0.759,0.0,0.0,0.0,20480.0,349.0,560.0
1.008,0.756,98.237,0.0,0.0,0.0,0.0,8192.0,1820.0,2125.0
1.266,0.0,98.734,0.0,0.0,0.0,0.0,0.0,1489.0,1676.0
1.995,0.499,97.506,0.0,0.0,0.0,0.0,0.0,1713.0,1972.0
0.758,0.0,98.990,0.0,0.0,0.253,0.0,0.0,349.0,535.0
1.008,0.504,98.489,0.0,0.0,0.0,0.0,28672.0,1551.0,1905.0
0.759,0.506,98.734,0.0,0.0,0.0,0.0,20480.0,1795.0,1821.0
0.758,0.253,98.990,0.0,0.0,0.0,0.0,0.0,349.0,539.0
1.005,0.503,98.492,0.0,0.0,0.0,0.0,0.0,1688.0,2022.0
1.253,0.752,97.995,0.0,0.0,0.0,0.0,0.0,1542.0,1864.0
1.253,0.251,97.995,0.501,0.0,0.0,0.0,32768.0,1672.0,1721.0
1.504,0.251,98.246,0.0,0.0,0.0,0.0,24576.0,349.0,548.0
1.003,1.003,97.995,0.0,0.0,0.0,0.0,0.0,1610.0,1933.0
1.746,0.499,97.756,0.0,0.0,0.0,0.0,0.0,1530.0,1689.0
1.504,0.501,97.995,0.0,0.0,0.0,0.0,0.0,349.0,539.0
1.746,0.748,97.257,0.249,0.0,0.0,0.0,20480.0,1680.0,1953.0
