"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-8-1",,,,"User:","ubuntu"
"Cmdline:","dstat --output /home/ubuntu/output/sync_stats_1.csv -cdn",,,,"Date:","06 Dec 2016 05:38:27 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
2.803,0.939,96.140,0.063,0.000,0.055,22325.875,49733.761,0.0,0.0
89.223,4.511,1.754,4.511,0.0,0.0,26640384.0,0.0,8850.0,7490.0
91.022,4.239,0.748,3.990,0.0,0.0,4390912.0,0.0,2942.0,788.0
90.977,7.268,0.752,1.003,0.0,0.0,7086080.0,0.0,13848.0,1362.0
95.739,0.752,3.509,0.0,0.0,0.0,270336.0,0.0,600.0,264.0
94.527,2.239,2.736,0.498,0.0,0.0,8192.0,344064.0,4606.0,962.0
86.935,7.286,4.271,1.005,0.0,0.503,3641344.0,0.0,62389.0,259421.0
89.250,6.750,3.750,0.0,0.0,0.250,1626112.0,0.0,128194.0,144041.0
84.962,11.278,3.258,0.0,0.0,0.501,0.0,0.0,10044.0,4374.0
84.040,10.474,5.237,0.0,0.0,0.249,0.0,0.0,31090.0,26591.0
84.962,11.278,3.509,0.0,0.0,0.251,0.0,77824.0,30108.0,25259.0
85.750,10.750,3.0,0.0,0.0,0.500,0.0,0.0,31663.0,25910.0
85.176,9.296,5.276,0.0,0.0,0.251,0.0,0.0,32294.0,27695.0
87.218,8.271,4.010,0.0,0.0,0.501,0.0,0.0,3784.0,4540.0
86.683,8.543,4.523,0.0,0.0,0.251,0.0,0.0,31730.0,25902.0
86.250,10.750,2.750,0.0,0.0,0.250,0.0,102400.0,39747.0,28646.0
86.181,9.296,4.020,0.0,0.0,0.503,0.0,0.0,27065.0,20750.0
86.250,8.750,4.750,0.0,0.0,0.250,0.0,0.0,30550.0,25645.0
86.683,9.799,3.266,0.0,0.0,0.251,0.0,0.0,2606.0,3698.0
88.471,8.271,3.258,0.0,0.0,0.0,0.0,0.0,28598.0,24583.0
86.500,8.250,5.250,0.0,0.0,0.0,0.0,143360.0,30945.0,25072.0
87.250,9.250,3.250,0.0,0.0,0.250,0.0,0.0,30693.0,22318.0
88.250,9.500,2.0,0.0,0.0,0.250,32768.0,0.0,28639.0,23778.0
